ResponseId,Economy,P5,P25,P65,P125,P250,P500,P1500,P3000,P5500,P17500,P35000,P70000,P140000,P280000,P560000,AGE,GENDER,RELIGION,POL,INC,HINS,ALC,MJ,GB,NIC,normalized_auc
R_2PQShllOh7pv1jt,1,1,1,1,NA,1,0,0,0,0,0,0,0,0,0,0,23,0,56,43,1,0,0,0,0,0,0.000660714
R_2q51NTvY7z829Cf,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,23,0,100,90,0,0,1,0,0,0,0.004008929
R_2qEck4SNpTV8k9C,1,1,0,0,0,0,0,1,NA,1,1,1,1,0,0,0,24,1,50,30,1,0,1,1,1,0,0.185732143
R_2QLXqgqpyhJETXS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2RkhC2u1M83ypaG,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2RrpbRFPEMxF750,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
R_2RWX5h1Ar0XFEV4,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,17,1,61,20,1,0,0,0,0,0,0.020526786
R_2Sxi0Fnfw8zdYDO,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14286E-05
R_2tJtHHDSXWQW7Tz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2TWabv2hntFhPt7,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0,50,18,1,0,0,0,0,0,3.57143E-05
R_2TwcqIwWMVEAIwZ,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000160714
R_2V69Gh7TZzBU4al,NA,0,0,NA,1,NA,1,1,1,0,NA,0,NA,0,0,0,23,0,80,13,1,0,0,0,0,0,0.007455357
R_2vN3i2L0yz2HQw9,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_2wN9tg7MBa8513W,1,1,1,1,1,1,1,NA,1,0,0,0,0,0,0,0,25,0,80,70,1,0,0,0,0,0,0.007580357
R_2WYApbTlvRLuACC,0,1,0,0,1,1,1,1,1,1,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.020383929
R_2Ymixu7PvRExZe1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,              NA
R_80orw0ueugQuda1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999991071
